Image Identifier,Path,Filename,Marker,"Size category (Small, Medium, Large)",age (3 or 4 days),cotyledon width value (um),"stretch time point (t0, t5, no stretch)",Successfully stretched for 7h with all intermediate pictures available?,Control t0+t5,midline angle,number of brx cells in ROI set,"author that collected the image (WB, JC, or MY)",Flipped_t0,Flipped_channels,Replicate,Scale,Any extra notes?,
brxbrx_Aug12th_seed7cot1_t0,Brx/stretched/ds2,brxbrx_aug12th_seed7cot1_t0,brxl,L,4,824,t0,Y,,74.98,113,WB+JC,1,1,man,,,
brxbrx_Aug12th_seed7cot2_t0,Brx/stretched/ds2,brxbrx_aug12th_seed7cot2_t0,brxl,L,4,811,t0,Y,,-98.4,89,WB+JC,1,1,man,,,
brxbrx_Aug12th_seed4cot1_t0,Brx/stretched/ds2,brxbrx_aug12th_seed4cot1_t0,brxl,L,4,816,t0,Y,,88.97,65,WB+JC,1,1,,,,
brxbrx_Aug12th_seed4cot2_t0,Brx/stretched/ds2,brxbrx_aug12th_seed4cot2_t0,brxl,L,4,823,t0,Y,,-98.78,67,WB+JC,1,1,man,,,
brxbrx_Aug10th_seed4cot1_t5,Brx/stretched/ds2,brxbrx_aug10th_seed4cot1_t5,brxl,L,4,992.1,t5,Y,,-93.56,39,WB+JC,,0,,,,
brxbrx_Aug17th_seed4cot1_t5,Brx/stretched/ds2,brxbrx_17thAug_seed4cot1_t5,brxl,M,4,699,t5,Y,,20,68,WB+JC,,0,man,,,
brxbrx_Aug17th_seed4cot2_t5,Brx/stretched/ds2,brxbrx_17thAug_seed4cot2_t5,brxl,M,4,673,t5,Y,,176.37,105,WB+JC,,0,man,,,
brxbrx_Aug12th_seed7cot1_t5,Brx/stretched/ds2,brxbrx_aug12th_seed7cot1_t5,brxl,L,4,824,t5,Y,,-28.3,102,WB+JC,,0,man,,,
brxbrx_Aug12th_seed7cot2_t5,Brx/stretched/ds2,brxbrx_aug12th_seed7cot2_t5,brxl,L,4,811,t5,Y,,169.2,75,WB+JC,,0,man,,,
brxbrx_Aug12th_seed4cot1_t5,Brx/stretched/ds2,brxbrx_aug12th_seed4cot1_t5,brxl,L,4,816,t5,Y,,4.48,103,WB+JC,,0,,,,
brxbrx_Aug12th_seed4cot2_t5,Brx/stretched/ds2,brxbrx_aug12th_seed4cot2_t5,brxl,L,4,823,t5,Y,,-159.2,64,WB+JC,,0,,,,
brxbrx_Aug12th_seed8cot1_t0,Brx/unstretched_but_glued_tracked,brxbrx_aug12th_seed8cot1_t0,brxl,M,4,574,t0,,t0,117.4,,WB+JC,0,,man,,,
brxbrx_Aug12th_seed8cot2_t0,Brx/unstretched_but_glued_tracked,brxbrx_aug12th_seed8cot2_t0,brxl,M,4,636,t0,,t0,-58,,WB+JC,0,,man,,,
brxbrx_Aug12th_seed8cot1_t5,Brx/unstretched_but_glued_tracked,brxbrx_aug12th_seed8cot1_t5,brxl,M,4,657,t5,,t5,73.7,,WB+JC,0,,man,,,
brxbrx_Aug12th_seed8cot2_t5,Brx/unstretched_but_glued_tracked,brxbrx_aug12th_seed8cot2_t5,brxl,M,4,578,t5,,t5,-94,,WB+JC,0,,man,,,
brxbrx_Aug12th_seed9cot1_t0,Brx/unstretched_but_glued_tracked,brxbrx_aug12th_seed9cot1_t0,brxl,L,4,826,t0,,t0,89.2,104,WB+JC,0,,man,,,
